precinct,year,race,party,candidate,votes
Menallen Township 2 - 44-02,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,3
Menallen Township 3 - 44-03,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Newell Borough - 46-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Nicholson Township - 48-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,6
North Union Township 1 - 50-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,4
North Union Township 2 - 50-02,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,6
North Union Township 3 - 50-03,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
North Union Township 4 - 50-04,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,2
North Union Township 5 - 50-05,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Ohiopyle Borough - 52-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Perry Township - 54-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,3
Perryopolis Borough - 56-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,2
Point Marion Borough - 58-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Redstone Township 1 - 60-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Redstone Township 2 - 60-02,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Redstone Township 3 - 60-03,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Redstone Township 4 - 60-04,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
Saltlick Township - 62-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,2
Smithfield Borough - 64-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,1
South Connellsville Borough - 66-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
South Union Township 1 - 68-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,10
South Union Township 2 - 68-02,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,6
South Union Township 3 - 68-03,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,3
Springfield Township 1 - 70-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Springfield Township 2 - 70-02,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
Springhill Township - 72-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,2
Stewart Township - 74-01,2024,Presidential Electors,GRN,Jill Stein / Rudolph Ware,0
