precinct,year,race,party,candidate,votes
SNOW SHOE BOROUGH,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
SNOW SHOE BOROUGH,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,92
SNOW SHOE BOROUGH,2024,AUDITOR GENERAL,REP,TIM DEFOOR,293
SNOW SHOE BOROUGH,2024,AUDITOR GENERAL,LIB,REECE SMITH,13
SNOW SHOE BOROUGH,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,2
SNOW SHOE BOROUGH,2024,AUDITOR GENERAL,CST,BOB GOODRICH,2
SNOW SHOE BOROUGH,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,99
SNOW SHOE BOROUGH,2024,STATE TREASURER,REP,STACY GARRITY,293
SNOW SHOE BOROUGH,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,6
SNOW SHOE BOROUGH,2024,STATE TREASURER,CST,TROY BOWMAN,3
SNOW SHOE BOROUGH,2024,STATE TREASURER,FWD,CHRIS FOSTER,2
SNOW SHOE BOROUGH,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,DEM,ZACH WOMER,101
SNOW SHOE BOROUGH,2024,REPRESENTATIVE IN CONGRESS 15TH CONGRESSIONAL DISTRICT,REP,GLENN GT THOMPSON,302
SNOW SHOE BOROUGH,2024,SENATOR IN THE GENERAL ASSEMBLY 25TH SENATORIAL DISTRICT,DEM,WILLIAM MCGILL,93
SNOW SHOE BOROUGH,2024,SENATOR IN THE GENERAL ASSEMBLY 25TH SENATORIAL DISTRICT,REP,CRIS DUSH,302
SNOW SHOE BOROUGH,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 82ND LEGISLATIVE DISTRICT,DEM,PAUL TAKAC,151
SNOW SHOE BOROUGH,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 82ND LEGISLATIVE DISTRICT,REP,THERESE HOLLEN,258
RUSH NORTH CENTRAL,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS,58
RUSH NORTH CENTRAL,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP,148
RUSH NORTH CENTRAL,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER,0
RUSH NORTH CENTRAL,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN,1
RUSH NORTH CENTRAL,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,59
RUSH NORTH CENTRAL,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,139
RUSH NORTH CENTRAL,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,5
RUSH NORTH CENTRAL,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,3
RUSH NORTH CENTRAL,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,56
RUSH NORTH CENTRAL,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,142
RUSH NORTH CENTRAL,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,4
RUSH NORTH CENTRAL,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,2
RUSH NORTH CENTRAL,2024,ATTORNEY GENERAL,CST,JUSTIN L MAGILL,2
RUSH NORTH CENTRAL,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
RUSH NORTH CENTRAL,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,58
RUSH NORTH CENTRAL,2024,AUDITOR GENERAL,REP,TIM DEFOOR,136
RUSH NORTH CENTRAL,2024,AUDITOR GENERAL,LIB,REECE SMITH,7
RUSH NORTH CENTRAL,2024,AUDITOR GENERAL,ASP,ERIC K ANTON,0
RUSH NORTH CENTRAL,2024,AUDITOR GENERAL,CST,BOB GOODRICH,1
