precinct,year,race,party,candidate,votes
KOPPEL BORO,2024,STATE TREASURER,CON,TROY BOWMAN,6
KOPPEL BORO,2024,STATE TREASURER,FWD,CHRIS FOSTER,5
KOPPEL BORO,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,DEM,CHRIS DELUZIO,150
KOPPEL BORO,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,REP,ROB MERCURI,209
KOPPEL BORO,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,DEM,KATE LENNEN,125
KOPPEL BORO,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,REP,ELDER VOGEL JR,238
KOPPEL BORO,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 14TH DISTRICT,DEM,KENYA JOHNS,134
KOPPEL BORO,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 14TH DISTRICT,REP,ROMAN KOZAK,229
MARION TWP,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS / TIM WALZ,125
MARION TWP,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP / JD VANCE,384
MARION TWP,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER / MIKE TER MAAT,2
MARION TWP,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN / RUDOLPH WARE,1
MARION TWP,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,135
MARION TWP,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,359
MARION TWP,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,8
MARION TWP,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,4
MARION TWP,2024,UNITED STATES SENATOR,CST,MARTY SELKER,4
MARION TWP,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,122
MARION TWP,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,374
MARION TWP,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,5
MARION TWP,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,3
MARION TWP,2024,ATTORNEY GENERAL,CON,JUSTIN L MAGILL,2
MARION TWP,2024,ATTORNEY GENERAL,FWD,ERIC L SETTLE,1
MARION TWP,2024,AUDITOR GENERAL,DEM,MALCOLM KENYATTA,110
MARION TWP,2024,AUDITOR GENERAL,REP,TIM DEFOOR,378
MARION TWP,2024,AUDITOR GENERAL,LIB,REECE SMITH,6
MARION TWP,2024,AUDITOR GENERAL,AMS,ERIC K ANTON,2
MARION TWP,2024,AUDITOR GENERAL,CST,BOB GOODRICH,4
MARION TWP,2024,STATE TREASURER,DEM,ERIN MCCLELLAND,113
MARION TWP,2024,STATE TREASURER,REP,STACY GARRITY,372
MARION TWP,2024,STATE TREASURER,LIB,NICKOLAS CIESIELSKI,6
MARION TWP,2024,STATE TREASURER,CON,TROY BOWMAN,3
MARION TWP,2024,STATE TREASURER,FWD,CHRIS FOSTER,2
MARION TWP,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,DEM,CHRIS DELUZIO,137
MARION TWP,2024,REPRESENTATIVE IN CONGRESS 17TH DISTRICT,REP,ROB MERCURI,366
MARION TWP,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,DEM,KATE LENNEN,108
MARION TWP,2024,SENATOR IN THE GENERAL ASSEMBLY 47TH DISTRICT,REP,ELDER VOGEL JR,398
MARION TWP,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 14TH DISTRICT,DEM,KENYA JOHNS,120
MARION TWP,2024,REPRESENTATIVE IN THE GENERAL ASSEMBLY 14TH DISTRICT,REP,ROMAN KOZAK,379
MIDLAND BORO 1,2024,PRESIDENTIAL ELECTORS,DEM,KAMALA D HARRIS / TIM WALZ,350
MIDLAND BORO 1,2024,PRESIDENTIAL ELECTORS,REP,DONALD J TRUMP / JD VANCE,271
MIDLAND BORO 1,2024,PRESIDENTIAL ELECTORS,LIB,CHASE OLIVER / MIKE TER MAAT,1
MIDLAND BORO 1,2024,PRESIDENTIAL ELECTORS,GRN,JILL STEIN / RUDOLPH WARE,1
MIDLAND BORO 1,2024,UNITED STATES SENATOR,DEM,ROBERT P CASEY JR,360
MIDLAND BORO 1,2024,UNITED STATES SENATOR,REP,DAVE MCCORMICK,248
MIDLAND BORO 1,2024,UNITED STATES SENATOR,LIB,JOHN C THOMAS,4
MIDLAND BORO 1,2024,UNITED STATES SENATOR,GRN,LEILA HAZOU,6
MIDLAND BORO 1,2024,UNITED STATES SENATOR,CST,MARTY SELKER,2
MIDLAND BORO 1,2024,ATTORNEY GENERAL,DEM,EUGENE DEPASQUALE,362
MIDLAND BORO 1,2024,ATTORNEY GENERAL,REP,DAVE SUNDAY,228
MIDLAND BORO 1,2024,ATTORNEY GENERAL,LIB,ROBERT COWBURN,16
MIDLAND BORO 1,2024,ATTORNEY GENERAL,GRN,RICHARD L WEISS,5
